ticker,phrase
AVNT ," Avient Corp Raised to Outperform at Oppenheimer; PT $50"
BKR ," Baker Hughes Raised to Overweight at Piper Sandler; PT $43"
GNRC ," Generac Raised to Buy at Canaccord; PT $175"
ROKU ," Roku Raised to Neutral at Atlantic Equities; PT $76"
SMG ," Scotts Miracle-Gro Raised to Overweight at Wells Fargo; PT $100"
